index_name,recall,throughput,latency,build time
hnswlib.M24.efConstruction128,0.5752501223,469175.7772,0.001699769419,1022
hnswlib.M24.efConstruction256,0.5907554672,467782.3783,0.001692340624,1817
hnswlib.M24.efConstruction512,0.5938048188,434291.7243,0.001876248252,3414
hnswlib.M24.efConstruction512,0.5938048188,421672.4426,0.003379525506,3414
hnswlib.M36.efConstruction128,0.6185128546,406769.5995,0.00206658795,1249
hnswlib.M36.efConstruction128,0.6185131346,367229.5776,0.006463295093,1249
hnswlib.M36.efConstruction256,0.6455796756,355991.0571,0.00212291777,2505
hnswlib.M36.efConstruction512,0.6533532715,352462.8284,0.002384394275,4430
hnswlib.M36.efConstruction512,0.6533804772,346552.359,0.006816763639,4430
hnswlib.M16.efConstruction512,0.6623854167,339197.5549,0.002455676804,2582
hnswlib.M24.efConstruction64,0.6664945652,324633.1062,0.004468795493,564
hnswlib.M24.efConstruction64,0.6665242077,320074.7069,0.002626554496,564
hnswlib.M24.efConstruction128,0.7104097529,312490.9309,0.002660254488,1022
hnswlib.M24.efConstruction256,0.725862069,312309.9659,0.004668068908,1817
hnswlib.M24.efConstruction512,0.729341716,300999.7306,0.004851474631,3414
hnswlib.M36.efConstruction128,0.7469474712,282502.6293,0.002927496942,1249
hnswlib.M36.efConstruction128,0.7470363562,278891.2483,0.00501804916,1249
hnswlib.M36.efConstruction512,0.7817401378,248864.8439,0.003351976201,4430
hnswlib.M16.efConstruction512,0.7829464286,222960.9779,0.003615563255,2582
hnswlib.M24.efConstruction128,0.8205435363,209512.967,0.006804641189,1022
hnswlib.M24.efConstruction256,0.837835203,207309.0513,0.007099532628,1817
hnswlib.M24.efConstruction512,0.8411645047,189093.9741,0.00779001616,3414
hnswlib.M16.efConstruction512,0.8424854052,165471.7574,0.004912510662,2582
hnswlib.M24.efConstruction128,0.8710055147,153802.0025,0.009376478163,1022
hnswlib.M24.efConstruction256,0.8867732558,151854.9618,0.009391557924,1817
hnswlib.M24.efConstruction256,0.8867828526,146843.0858,0.005535249114,1817
hnswlib.M24.efConstruction512,0.8915747364,139213.3284,0.01042896025,3414
hnswlib.M24.efConstruction512,0.8916000406,138988.1624,0.01808740756,3414
hnswlib.M24.efConstruction128,0.9007291667,120765.5102,0.0119371731,1022
hnswlib.M24.efConstruction256,0.9160995802,118527.4706,0.01192364647,1817
hnswlib.M36.efConstruction256,0.916818704,111790.6315,0.01339178887,2505
hnswlib.M24.efConstruction512,0.9206728831,111278.9134,0.01312298182,3414
hnswlib.M24.efConstruction512,0.9207104592,109821.9884,0.02291529698,3414
hnswlib.M36.efConstruction512,0.9242135989,107231.0112,0.02428286264,4430
hnswlib.M36.efConstruction512,0.9242302766,104386.1365,0.01484979074,4430
hnswlib.M36.efConstruction512,0.9479125616,89807.69958,0.02932038558,4430
hnswlib.M24.efConstruction512,0.9514131944,84452.07538,0.01932658184,3414
hnswlib.M36.efConstruction256,0.9646669408,65562.94921,0.02330906709,2505
hnswlib.M36.efConstruction512,0.9707504252,63305.47517,0.04118066013,4430
hnswlib.M24.efConstruction256,0.9716171875,52873.66334,0.02700308385,1817
hnswlib.M24.efConstruction512,0.9748632813,49277.05478,0.0287469951,3414
hnswlib.M24.efConstruction512,0.9748632813,48296.65337,0.05170160427,3414
hnswlib.M36.efConstruction512,0.9862053571,42536.36209,0.06487633289,4430
hnswlib.M36.efConstruction512,0.9863764881,38484.8552,0.04031998112,4430
hnswlib.M36.efConstruction512,0.9865104167,27589.68569,0.02548909103,4430
hnswlib.M24.efConstruction256,0.9887604167,27373.27816,0.05169178844,1817
hnswlib.M24.efConstruction256,0.9887823276,26671.62378,0.0317508834,1817
hnswlib.M24.efConstruction512,0.9904563492,25556.96011,0.09828771389,3414
hnswlib.M24.efConstruction512,0.9905691964,25538.1855,0.05613456345,3414
hnswlib.M36.efConstruction512,0.9954073661,21619.55878,0.1291616446,4430
hnswlib.M36.efConstruction512,0.9974627976,15842.79631,0.1771071939,4430
hnswlib.M36.efConstruction512,0.9976367188,14426.03362,0.1147326959,4430
hnswlib.M36.efConstruction512,0.9982552083,10810.25841,0.1403305804,4430
hnswlib.M36.efConstruction256,0.9988,369.0545426,0.02709639744,2505
hnswlib.M36.efConstruction512,1,294.1988052,0.03399080565,4430
